Name,Type,Category,Country,lat,lon,geocode,Département
Hôpital-Maternité Sapiens,node,hospital,HT,18.5383163,-72.3328648,"18.5383163 , -72.3328648",Ouest
MSF Orthopedic Hospital Carrefour,node,hospital,HT,18.5393224,-72.4069173,"18.5393224 , -72.4069173",Ouest
St. Vincent,node,hospital,HT,18.5500394,-72.3401356,"18.5500394 , -72.3401356",Ouest
Hospital Raboteau,node,hospital,HT,19.4500354,-72.6903956,"19.4500354 , -72.6903956",Artibonite
Hospital Eglise Wesleyan Fauché,node,hospital,HT,19.7512964,-72.4293955,"19.7512964 , -72.4293955",Nord
Hospital La Saline (Pediatrie Sociale),node,hospital,HT,19.0486984,-72.4649872,"19.0486984 , -72.4649872",Artibonite
Hôpital Saint Ésprit,node,hospital,HT,18.5308777,-72.3374004,"18.5308777 , -72.3374004",Ouest
Hospital Bonneau St. Joseph,node,hospital,HT,18.5808572,-72.2294365,"18.5808572 , -72.2294365",Ouest
Hospital Bonne Fin,node,hospital,HT,18.2996009,-73.6589662,"18.2996009 , -73.6589662",Sud
Hospital Bethel Fonds-des-Nègres / Armée du Salut,node,hospital,HT,18.3588163,-73.2411154,"18.3588163 , -73.2411154",Nippes
Centre de Santé la Visitation Petite Rivière de Nippes,node,hospital,HT,18.4755337,-73.2226541,"18.4755337 , -73.2226541",Nippes
Hospital La Sainte Famille,node,hospital,HT,18.2796755,-72.3883425,"18.2796755 , -72.3883425",Sud-Est
Hopital Maternite Mathieu,node,hospital,HT,18.3216824,-72.1911124,"18.3216824 , -72.1911124",Sud-Est
College Excelsior,node,hospital,HT,18.5384409,-72.2899722,"18.5384409 , -72.2899722",Ouest
Hospital De La Communauté,node,hospital,HT,18.3127671,-72.1620423,"18.3127671 , -72.1620423",Sud-Est
Centre Médico-Social Populorum Progressio,node,hospital,HT,18.8170512,-73.0146453,"18.8170512 , -73.0146453",Ouest
Hospital Bon Berger,node,hospital,HT,19.300793,-72.6465009,"19.300793 , -72.6465009",Artibonite
Centre De Psychiatrie Et De Neurologie Mars,node,hospital,HT,18.98606,-72.2922608,"18.98606 , -72.2922608",Artibonite
Hospital Bombardopolis,node,hospital,HT,18.9860497,-72.2922504,"18.9860497 , -72.2922504",Artibonite
Hospital Docteur Baudin,node,hospital,HT,19.4501181,-72.6888861,"19.4501181 , -72.6888861",Artibonite
Hospital Beraca La Pointe,node,hospital,HT,19.9418384,-72.7636398,"19.9418384 , -72.7636398",Nord-Ouest
Citymed,node,hospital,HT,18.5499899,-72.3000045,"18.5499899 , -72.3000045",Ouest
unknown name,node,hospital,HT,18.5295703,-72.3677251,"18.5295703 , -72.3677251",Ouest
field clinic,node,hospital,HT,18.5071164,-72.627121,"18.5071164 , -72.627121",Ouest
King's Hospital,node,hospital,HT,18.5628232,-72.2733615,"18.5628232 , -72.2733615",Ouest
ISRAELI FIELD HOSPITAL,node,hospital,HT,18.570833,-72.314722,"18.570833 , -72.314722",Ouest
CENTRE DE SANTE DE BAINET,node,hospital,HT,18.183016,-72.755174,"18.183016 , -72.755174",Sud-Est
Maternité des Abricots,node,hospital,HT,18.6333088,-74.300012,"18.6333088 , -74.300012",Grande'Anse
DISPENSAIRE ROY - SEC,node,hospital,HT,18.8945227,-71.8367562,"18.8945227 , -71.8367562",Centre
DP DE BOSSOU,node,hospital,HT,18.9033193,-72.2773315,"18.9033193 , -72.2773315",Centre
DP DE CHRISTANT (SOE),node,hospital,HT,18.97779,-72.406422,"18.97779 , -72.406422",Artibonite
DP DE DESCHAPELLES,node,hospital,HT,19.0817043,-72.4953088,"19.0817043 , -72.4953088",Artibonite
DP DE DESARMES (SOE),node,hospital,HT,18.9918303,-72.3896272,"18.9918303 , -72.3896272",Artibonite
DP COMMUNAUTAIRE DE MARIN,node,hospital,HT,19.0287897,-72.4203014,"19.0287897 , -72.4203014",Artibonite
Dispensaire de Mont-Rouis,node,hospital,HT,18.9512576,-72.7056794,"18.9512576 , -72.7056794",Artibonite
DP DE GRESSOT,node,hospital,HT,18.9826559,-72.6460783,"18.9826559 , -72.6460783",Artibonite
DP MAX FERDINAND,node,hospital,HT,19.0490626,-72.7148285,"19.0490626 , -72.7148285",Artibonite
DP DE CHARETTE,node,hospital,HT,19.0802385,-72.674784,"19.0802385 , -72.674784",Artibonite
DISPENSAIRE SAINT LOUIS,node,hospital,HT,18.78636,-73.063577,"18.78636 , -73.063577",Ouest
DP DE SEGUR,node,hospital,HT,19.1492669,-72.5042016,"19.1492669 , -72.5042016",Artibonite
DP CLEMENTINE ET LORISMENE,node,hospital,HT,19.16529,-72.636064,"19.16529 , -72.636064",Artibonite
CENTRE MEDICAL DE LA RHEMA,node,hospital,HT,19.2068154,-72.6404754,"19.2068154 , -72.6404754",Artibonite
DP PA NOU AN,node,hospital,HT,19.2370232,-72.6416546,"19.2370232 , -72.6416546",Artibonite
DP BEREE DE DROUIN,node,hospital,HT,19.2563533,-72.6897179,"19.2563533 , -72.6897179",Artibonite
DP DE DESCAREAUX,node,hospital,HT,19.3010197,-72.6511505,"19.3010197 , -72.6511505",Artibonite
DP AUX SOURCES,node,hospital,HT,19.3300182,-72.6757445,"19.3300182 , -72.6757445",Artibonite
DP DE JEAN DENIS,node,hospital,HT,19.184485,-72.5428496,"19.184485 , -72.5428496",Artibonite
DISPENSAIRE ILODEP,node,hospital,HT,19.6627432,-73.0211734,"19.6627432 , -73.0211734",Artibonite
DP DE CORIDON,node,hospital,HT,19.5537656,-72.9015711,"19.5537656 , -72.9015711",Artibonite
DISPENSAIRE FIGUIER,node,hospital,HT,19.5898729,-72.8865222,"19.5898729 , -72.8865222",Artibonite
DP DE SOURCE CHAUDE,node,hospital,HT,19.6338508,-72.9182543,"19.6338508 , -72.9182543",Artibonite
CENTRE DE SANTE LABRANLE,node,hospital,HT,19.6100212,-72.615843,"19.6100212 , -72.615843",Artibonite
DP DE MARBIAL,node,hospital,HT,18.3333884,-72.4719083,"18.3333884 , -72.4719083",Sud-Est
DP SAINTE THERESE DE MARBIAL,node,hospital,HT,18.3272726,-72.4629475,"18.3272726 , -72.4629475",Sud-Est
DP De La voute,node,hospital,HT,18.3272179,-72.4985583,"18.3272179 , -72.4985583",Sud-Est
DP DE LAFOND,node,hospital,HT,18.2810415,-72.5179246,"18.2810415 , -72.5179246",Sud-Est
DP DE CYVADIER,node,hospital,HT,18.2272372,-72.4663587,"18.2272372 , -72.4663587",Sud-Est
DP DES ORANGERS,node,hospital,HT,18.2600922,-72.5084955,"18.2600922 , -72.5084955",Sud-Est
dispensaire de la croix,node,hospital,HT,18.2159906,-72.6236591,"18.2159906 , -72.6236591",Sud-Est
DP DE LAVANNEAU,node,hospital,HT,18.2583983,-72.6078626,"18.2583983 , -72.6078626",Sud-Est
DP ST FRANCOIS XAVIER DE BAUDIN,node,hospital,HT,18.3069923,-72.7096268,"18.3069923 , -72.7096268",Sud-Est
DISPENSAIRE COMMUNAUTAIRE,node,hospital,HT,18.3143963,-72.6595403,"18.3143963 , -72.6595403",Sud-Est
DP SAINT PATRICK,node,hospital,HT,18.2646947,-73.5420782,"18.2646947 , -73.5420782",Sud
DP SAINTE ANNE DE SUCRERIE HENRY,node,hospital,HT,18.2909923,-73.5703972,"18.2909923 , -73.5703972",Sud
DP MEN ANSANM DE SAINTE THERESE,node,hospital,HT,18.3172872,-73.3779597,"18.3172872 , -73.3779597",Sud
DP DE MOUILLAGE FOUQUET,node,hospital,HT,18.1900042,-73.1040864,"18.1900042 , -73.1040864",Sud
DP DE COTE DE FER,node,hospital,HT,19.8323744,-73.2664886,"19.8323744 , -73.2664886",Nord-Ouest
"Dispensaire ""Les Basses""",node,hospital,HT,18.5749215,-73.7083098,"18.5749215 , -73.7083098",Nippes
DISPENSAIRE DE FERRIER,node,hospital,HT,19.6162125,-71.7799262,"19.6162125 , -71.7799262",Nord-Est
Centre de Santé de Trou-du-Nord,node,hospital,HT,19.6124122,-72.0268822,"19.6124122 , -72.0268822",Nord-Est
DISPENSAIRE DE ROCHES PLATES,node,hospital,HT,19.556371,-71.9756669,"19.556371 , -71.9756669",Nord-Est
Dispensaire des Perches,node,hospital,HT,19.521187,-71.9219997,"19.521187 , -71.9219997",Nord-Est
DISPENSAIRE D'ACUL SAMEDI,node,hospital,HT,19.5206348,-71.8819053,"19.5206348 , -71.8819053",Nord-Est
DISPENSAIRE D'ACUL DES PINS,node,hospital,HT,19.497521,-71.8106291,"19.497521 , -71.8106291",Nord-Est
DP DE Dumont,node,hospital,HT,18.0602275,-73.8848275,"18.0602275 , -73.8848275",Sud
DP DE DAMASSIN,node,hospital,HT,18.2292752,-74.0636986,"18.2292752 , -74.0636986",Sud
Dispensaire de Carpentier,node,hospital,HT,18.1320792,-73.9469258,"18.1320792 , -73.9469258",Sud
DP LILIAN DE ROCHE A BATEAU,node,hospital,HT,18.1799597,-74.0033327,"18.1799597 , -74.0033327",Sud
DP SAINTE ANNE DE RENDEL,node,hospital,HT,18.3177499,-74.093333,"18.3177499 , -74.093333",Sud
DISPENSAIRE DE LATIBOLIERE,node,hospital,HT,18.5952867,-74.137917,"18.5952867 , -74.137917",Grande'Anse
CENTRE MEDICOSOCIAL DE MONT-ORGANISE,node,hospital,HT,19.409217,-71.7809727,"19.409217 , -71.7809727",Nord-Est
Centre de Sante Saint Pierre,node,hospital,HT,18.67478,-71.952891,"18.67478 , -71.952891",Ouest
Centre de Sante de Cornillon,node,hospital,HT,18.6755232,-71.9515504,"18.6755232 , -71.9515504",Ouest
Centre de Santé de L'Étang,node,hospital,HT,18.6427548,-72.0516378,"18.6427548 , -72.0516378",Ouest
Centre médico-social,node,hospital,HT,18.6209816,-72.2788828,"18.6209816 , -72.2788828",Ouest
Centre Hospitalier Foyer Saint Camille,node,hospital,HT,18.6156635,-72.2878495,"18.6156635 , -72.2878495",Ouest
CENTRE SANTE LUCELIA BONTEMPS,node,hospital,HT,18.6126168,-72.3100619,"18.6126168 , -72.3100619",Ouest
CENTRE DE SANTE PETITS AMIS DE JESUS,node,hospital,HT,18.6152497,-72.2467539,"18.6152497 , -72.2467539",Ouest
HOPITAL DE BEUDET,node,hospital,HT,18.6115488,-72.2131078,"18.6115488 , -72.2131078",Ouest
DP DE BAS BOEN,node,hospital,HT,18.5815334,-72.2455633,"18.5815334 , -72.2455633",Ouest
DISPENSAIRE DE SAVANNE CABRI,node,hospital,HT,18.5861449,-72.0781965,"18.5861449 , -72.0781965",Ouest
CENTRE DE SANTE H.E.L.P. INC DE VAUDREUIL,node,hospital,HT,18.5880441,-72.176675,"18.5880441 , -72.176675",Ouest
CENTRE DE SANTE LIFE LINE,node,hospital,HT,18.5824059,-72.2219622,"18.5824059 , -72.2219622",Ouest
CENTRE DE SANTE DE CROIX-DES-BOUQUETS,node,hospital,HT,18.5757176,-72.2270416,"18.5757176 , -72.2270416",Ouest
CENTRE DE SANTE OPERATION DOUBLE HARVEST,node,hospital,HT,18.542574,-72.19255,"18.542574 , -72.19255",Ouest
DP de FOPECG,node,hospital,HT,18.5394677,-72.1377833,"18.5394677 , -72.1377833",Ouest
centre de sante communautaire de turbé,node,hospital,HT,18.5360112,-72.1666266,"18.5360112 , -72.1666266",Ouest
L'Eau de Vie de F.P,node,hospital,HT,18.4918429,-71.9522131,"18.4918429 , -71.9522131",Ouest
Centre de Santé de Fonds-Verettes,node,hospital,HT,18.3937867,-71.8543066,"18.3937867 , -71.8543066",Ouest
DP DE FORET DES PINS,node,hospital,HT,18.3226047,-71.7752287,"18.3226047 , -71.7752287",Sud-Est
NOTRE DAME DES PINS D'ORIANIE,node,hospital,HT,18.3059513,-71.832702,"18.3059513 , -71.832702",Sud-Est
BIRE (NEW MISSION),node,hospital,HT,18.5623161,-72.5861388,"18.5623161 , -72.5861388",Ouest
CENTRE DE SANTE BON BERGER,node,hospital,HT,18.535889,-72.56015,"18.535889 , -72.56015",Ouest
Asile Saint Vincent de Paul,node,hospital,HT,18.5143442,-72.6085214,"18.5143442 , -72.6085214",Ouest
HOPITAL CARDINAL LEGER,node,hospital,HT,18.5131377,-72.6097024,"18.5131377 , -72.6097024",Ouest
Sanatorium de Leogane,node,hospital,HT,18.5122252,-72.6052279,"18.5122252 , -72.6052279",Ouest
CENTRE MEDICO - COMMUNAUTAIRE DE DARBONE,node,hospital,HT,18.4928307,-72.5900394,"18.4928307 , -72.5900394",Ouest
CENTRE DE SANTE FARNESE LOUIS CHARLES DE PASQUA,node,hospital,HT,18.4271546,-72.6427739,"18.4271546 , -72.6427739",Sud-Est
DISPENSAIRE ST ANTOINE DE FOND D'OIE,node,hospital,HT,18.3897813,-72.579632,"18.3897813 , -72.579632",Sud-Est
DISPENSAIRE PETIT HARPON,node,hospital,HT,18.373423,-72.6210287,"18.373423 , -72.6210287",Sud-Est
Centre de Sante de Anse à Foleur,node,hospital,HT,19.8919497,-72.6175787,"19.8919497 , -72.6175787",Nord-Ouest
DP DE DITTY,node,hospital,HT,19.845726,-72.6137259,"19.845726 , -72.6137259",Nord
DISPENSAIRE DE PETIT BOURG DE BORGNE,node,hospital,HT,19.812163,-72.57187,"19.812163 , -72.57187",Nord
CENTRE DE SANTE DE BAS- LIMBE,node,hospital,HT,19.7802422,-72.3795735,"19.7802422 , -72.3795735",Nord
CENTRE DISPENSAIRE NOTRE DAME DE LOURDES CARENAGE,node,hospital,HT,19.7649733,-72.1973639,"19.7649733 , -72.1973639",Nord
CENTRE FOSREF,node,hospital,HT,19.7610047,-72.2028024,"19.7610047 , -72.2028024",Nord
DISPENSAIRE CARITAS,node,hospital,HT,19.7548535,-72.2050486,"19.7548535 , -72.2050486",Nord
Dispensaire de Sacre-Coeur,node,hospital,HT,19.7548167,-72.2052203,"19.7548167 , -72.2052203",Nord
Centre de Santé du Fort Saint Michel,node,hospital,HT,19.7411151,-72.1941764,"19.7411151 , -72.1941764",Nord
CEMAD CENTRE MEDICAL AIDE DIVINE,node,hospital,HT,19.7327323,-72.1833009,"19.7327323 , -72.1833009",Nord
CENTRE DE SANTE MADELINE,node,hospital,HT,19.7251301,-72.1819314,"19.7251301 , -72.1819314",Nord
Dispensaire Bord de Mer Limonade,node,hospital,HT,19.7273518,-72.119215,"19.7273518 , -72.119215",Nord
CENTRE MEDICAL BETHESDA DE VAUDREUIL,node,hospital,HT,19.7196138,-72.2522038,"19.7196138 , -72.2522038",Nord
Centre de Sante St Francois de Sales,node,hospital,HT,19.7183865,-72.2524555,"19.7183865 , -72.2524555",Nord
Dispensaire Zo Meda de Morne Rouge,node,hospital,HT,19.7105233,-72.266042,"19.7105233 , -72.266042",Nord
CENTRE DE SANTE JEHOVAH JIREH,node,hospital,HT,19.677599,-72.27091,"19.677599 , -72.27091",Nord
CENTRE MEDICO SOCIAL,node,hospital,HT,19.6768392,-72.2701891,"19.6768392 , -72.2701891",Nord
DISPENSAIRE SAINTE BERNADETTE DE CADUSH,node,hospital,HT,19.6438748,-72.1807403,"19.6438748 , -72.1807403",Nord
DISPENSAIRE DE CADUSH,node,hospital,HT,19.6418221,-72.181108,"19.6418221 , -72.181108",Nord
DISPENSAIRE DE ROBILLARD,node,hospital,HT,19.6162043,-72.2585898,"19.6162043 , -72.2585898",Nord
DISPENSAIRE DE GRAND PRE,node,hospital,HT,19.6225118,-72.1852564,"19.6225118 , -72.1852564",Nord
CLINIQUE METHODISTE LATANNERIE,node,hospital,HT,19.6114825,-72.172815,"19.6114825 , -72.172815",Nord
Centre de Santé de Dondon,node,hospital,HT,19.5266857,-72.2446294,"19.5266857 , -72.2446294",Nord
Dispensaire Saint Joseph,node,hospital,HT,19.5260736,-72.2417845,"19.5260736 , -72.2417845",Nord
DISPENSAIRE DE BAHON,node,hospital,HT,19.4694151,-72.1142344,"19.4694151 , -72.1142344",Nord
Centre de Santé de Ranquitte,node,hospital,HT,19.4104377,-72.0828684,"19.4104377 , -72.0828684",Nord
DISPENSAIRE ST JOSEPH,node,hospital,HT,19.3362284,-72.1141588,"19.3362284 , -72.1141588",Nord
Centre de Santé La Victoire,node,hospital,HT,19.3381795,-72.0239049,"19.3381795 , -72.0239049",Nord
DP DE TROU CHOUCHOU (FERME),node,hospital,HT,18.4518112,-72.9681002,"18.4518112 , -72.9681002",Ouest
DP DE MADELAINE,node,hospital,HT,18.411899,-73.0080425,"18.411899 , -73.0080425",Ouest
Dispensaire de Vialet,node,hospital,HT,18.4167352,-72.943916,"18.4167352 , -72.943916",Ouest
DP ARNOUX,node,hospital,HT,18.3935247,-73.0158714,"18.3935247 , -73.0158714",Ouest
CENTRE DE SANTE GEORGES GAUVIN,node,hospital,HT,18.4284807,-72.7693875,"18.4284807 , -72.7693875",Ouest
DP DE DANO (Danneau ),node,hospital,HT,18.3925869,-72.7476585,"18.3925869 , -72.7476585",Ouest
DP APV,node,hospital,HT,18.3776586,-72.8239461,"18.3776586 , -72.8239461",Ouest
DP DE MEYER,node,hospital,HT,18.3487899,-72.7167474,"18.3487899 , -72.7167474",Ouest
DP DE DUFOUR,node,hospital,HT,18.3174413,-72.8000629,"18.3174413 , -72.8000629",Ouest
CENTRE DE SANTE DES PALMES,node,hospital,HT,18.3037196,-72.8636364,"18.3037196 , -72.8636364",Ouest
CENTRE DE SANTE DE DELATTE,node,hospital,HT,18.3058918,-72.9581193,"18.3058918 , -72.9581193",Ouest
Dispensaire de Côtes-de-Fer,node,hospital,HT,18.1901171,-73.0035258,"18.1901171 , -73.0035258",Sud-Est
CENTRE DE SANTE ST ANTOINE DE TITANYEN,node,hospital,HT,18.712003,-72.34521,"18.712003 , -72.34521",Ouest
CENTRE DE BIZOTON BIZOTON,node,hospital,HT,18.527659,-72.38193,"18.527659 , -72.38193",Ouest
CENTRE MEDICAL O.M./ PES SANTE PLUS,node,hospital,HT,18.5378691,-72.4084446,"18.5378691 , -72.4084446",Ouest
Dispensaire de Saint Yves,node,hospital,HT,18.4364045,-73.2782065,"18.4364045 , -73.2782065",Nippes
Hôpital Jules Fleury d'Anse-à-Veau,node,hospital,HT,18.5035005,-73.3422367,"18.5035005 , -73.3422367",Nippes
CENTRE DE BETHESDA PLEUVANT DE L'AZILE,node,hospital,HT,18.3728412,-73.4965597,"18.3728412 , -73.4965597",Nippes
DISPENSAIRE DE L'AZILE,node,hospital,HT,18.3834705,-73.4151558,"18.3834705 , -73.4151558",Nippes
Dispensaire de Changeux,node,hospital,HT,18.3726541,-73.5281134,"18.3726541 , -73.5281134",Nippes
DISPENSAIRE DE JAVEL (FERME),node,hospital,HT,18.4249544,-73.2689589,"18.4249544 , -73.2689589",Nippes
Dispensaire d'Arnaud,node,hospital,HT,18.4468149,-73.3799971,"18.4468149 , -73.3799971",Nippes
CENTRE DE SANTE BAIE DE HENNE,node,hospital,HT,19.6670063,-73.2115326,"19.6670063 , -73.2115326",Nord-Ouest
JOSHUA MEMORIAL CLINIC,node,hospital,HT,19.727117,-73.1590354,"19.727117 , -73.1590354",Nord-Ouest
DISPENSAIRE DE DESFORGES,node,hospital,HT,19.7060127,-73.3938075,"19.7060127 , -73.3938075",Nord-Ouest
CLINIQUE MONT DES OLIVIERS,node,hospital,HT,19.6944853,-73.3687981,"19.6944853 , -73.3687981",Nord-Ouest
DISPENSAIRE DE DUPRE,node,hospital,HT,19.7486202,-73.2091821,"19.7486202 , -73.2091821",Nord-Ouest
DISPENSAIRE ROCHEFORT,node,hospital,HT,19.6993236,-73.3803291,"19.6993236 , -73.3803291",Nord-Ouest
DISPENSAIRE DE PETITE RIVIERE,node,hospital,HT,19.7211433,-73.1711233,"19.7211433 , -73.1711233",Nord-Ouest
HOPITAL EVANGELIQUE DE BOMBARDOPOLIS,node,hospital,HT,19.6929095,-73.3362431,"19.6929095 , -73.3362431",Nord-Ouest
Centre de santé Bon Secours,node,hospital,HT,18.5407181,-72.4438681,"18.5407181 , -72.4438681",Ouest
CLINIQUE MERES ET ENFANTS,node,hospital,HT,18.7788914,-72.5238943,"18.7788914 , -72.5238943",Ouest
CENTRE DE SANTE / BELLANGER,node,hospital,HT,18.7320972,-72.4417134,"18.7320972 , -72.4417134",Ouest
Centre de Santé Nicolas Armand,node,hospital,HT,18.7714821,-72.5131425,"18.7714821 , -72.5131425",Ouest
DISPENSAIRE DE ST ART,node,hospital,HT,18.8198069,-72.5667516,"18.8198069 , -72.5667516",Ouest
SADA MATHEUX,node,hospital,HT,18.8207284,-72.5392531,"18.8207284 , -72.5392531",Ouest
SANTE POUR TOUS,node,hospital,HT,18.5223046,-72.4153628,"18.5223046 , -72.4153628",Ouest
MAIN DE DIEU,node,hospital,HT,18.5402264,-72.401242,"18.5402264 , -72.401242",Ouest
CENTRE DE SANTE OPA,node,hospital,HT,18.5198502,-72.3833556,"18.5198502 , -72.3833556",Ouest
DISPENSAIRE MARIE LOUISE DE JESUS,node,hospital,HT,18.5400285,-72.4203887,"18.5400285 , -72.4203887",Ouest
CENTRE DE SANTE BETHESDA,node,hospital,HT,18.5306653,-72.4112798,"18.5306653 , -72.4112798",Ouest
Centre médico-social Antoine Lavoisier,node,hospital,HT,18.5333444,-72.3887547,"18.5333444 , -72.3887547",Ouest
Centre philadelphie médicale et dentaire,node,hospital,HT,18.5321845,-72.4131307,"18.5321845 , -72.4131307",Ouest
Hopital canadien LA VIGNE,node,hospital,HT,18.5338732,-72.4009027,"18.5338732 , -72.4009027",Ouest
Centre de santé La main tendue,node,hospital,HT,18.5286455,-72.4121623,"18.5286455 , -72.4121623",Ouest
CENTRE MEDICO - SOCIAL DE LA RIVIERE FROIDE,node,hospital,HT,18.5183565,-72.4126012,"18.5183565 , -72.4126012",Ouest
Centre de Santé de Cabaret,node,hospital,HT,18.7361558,-72.4189792,"18.7361558 , -72.4189792",Ouest
DISPENSAIRE DE CASALE,node,hospital,HT,18.7971481,-72.3852333,"18.7971481 , -72.3852333",Ouest
CENTRE DE SANTE SADA DE SOURCE MATELAS,node,hospital,HT,18.7213787,-72.3739571,"18.7213787 , -72.3739571",Ouest
DISPENSAIRE DE BAYONNAIS,node,hospital,HT,19.4102119,-72.4783435,"19.4102119 , -72.4783435",Artibonite
CENTRE DE SANTE BON BERGER BASSIN,node,hospital,HT,19.5469279,-72.6970422,"19.5469279 , -72.6970422",Artibonite
DISPENSAIRE HOSPITALIER DU BORGNE,node,hospital,HT,19.8388703,-72.5151212,"19.8388703 , -72.5151212",Nord
Hôpital Bon Samaritain de Bassin Bleu,node,hospital,HT,19.7827124,-72.7971056,"19.7827124 , -72.7971056",Nord-Ouest
DISPENSAIRE LA NATIVITE,node,hospital,HT,19.7964081,-72.8777682,"19.7964081 , -72.8777682",Nord-Ouest
LA PROVIDENCE DUGAS,node,hospital,HT,19.8326048,-72.7693792,"19.8326048 , -72.7693792",Nord-Ouest
Centre Medical de Beraca,node,hospital,HT,19.9449234,-72.7749084,"19.9449234 , -72.7749084",Nord-Ouest
DISPENSAIRE DE HAUT MOUSTIQUE,node,hospital,HT,19.742894,-72.87487,"19.742894 , -72.87487",Nord-Ouest
CEGYPEF,node,hospital,HT,18.5557032,-72.3414899,"18.5557032 , -72.3414899",Ouest
Centre Jeunes FOSREF,node,hospital,HT,18.2357136,-72.533408,"18.2357136 , -72.533408",Sud-Est
CENTRE JEUNES FOSREF LEOGANE,node,hospital,HT,18.507579,-72.62576,"18.507579 , -72.62576",Ouest
Klinik Lafanmy,node,hospital,HT,18.1946053,-73.749284,"18.1946053 , -73.749284",Sud
CROIX ROUGE HAITIENNE CAYES,node,hospital,HT,18.1951337,-73.7498005,"18.1951337 , -73.7498005",Sud
Centre de Santé Delmas #1,node,hospital,HT,18.5578866,-72.3235426,"18.5578866 , -72.3235426",Ouest
Centre de Santé Camp Perrin,node,hospital,HT,18.3127007,-73.8656231,"18.3127007 , -73.8656231",Sud
C.S CAVAILLON,node,hospital,HT,18.2983423,-73.6529925,"18.2983423 , -73.6529925",Sud
CENTRE DE SANTE DE COTEAUX,node,hospital,HT,18.2060695,-74.0404281,"18.2060695 , -74.0404281",Sud
Hôpital Saint-Pierre,node,hospital,HT,18.5675844,-73.8926914,"18.5675844 , -73.8926914",Grande'Anse
CENTRE DE SANTE SAINT JEAN BAPTISTE,node,hospital,HT,18.4900238,-74.4539227,"18.4900238 , -74.4539227",Grande'Anse
DP ST ANTOINE DE VIEUX BOURG D'AQUIN,node,hospital,HT,18.2988831,-73.3434921,"18.2988831 , -73.3434921",Sud
CLINIQUE MOBILE FHAPROMES,node,hospital,HT,18.3099418,-73.3049511,"18.3099418 , -73.3049511",Sud
CENTRE DE SANTE DE PESTEL,node,hospital,HT,18.5412652,-73.7992741,"18.5412652 , -73.7992741",Grande'Anse
Hôpital de la communauté Dame-Marienne,node,hospital,HT,18.5623233,-74.4220373,"18.5623233 , -74.4220373",Grande'Anse
CENTRE MEDICAL DE MASEILLAN,node,hospital,HT,18.3107398,-73.3014356,"18.3107398 , -73.3014356",Sud
Centre de santé Saint-Jean-du-sud,node,hospital,HT,18.0418894,-73.8402911,"18.0418894 , -73.8402911",Sud
CENTRE DE SANTE LA COLLINE,node,hospital,HT,18.3080638,-73.2456249,"18.3080638 , -73.2456249",Sud
CENTRE DE SANTE DE SAINT LOUIS DU SUD,node,hospital,HT,18.2629911,-73.5464691,"18.2629911 , -73.5464691",Sud
CENTRE DE SANTE TOTOLEAU,node,hospital,HT,18.4015935,-72.4143041,"18.4015935 , -72.4143041",Ouest
CENTRE DE SANTE BILL RICE,node,hospital,HT,18.7888996,-72.8467141,"18.7888996 , -72.8467141",Ouest
DISPENSAIRE MORNE A CHANDELLE,node,hospital,HT,18.538308,-72.4193921,"18.538308 , -72.4193921",Ouest
